航班日期,A,B,C,航段,航班号,距离天数,人数
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,4,29
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,4,83
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-xIqe+QQIQXQ=,A4tgQv5cqkc=,4,83
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,4,64
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,4,64
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,t+kFcRdzL6o=-/M8gHzjxpNU=,A4tgQv5cqkc=,4,62
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,AlGb30xUGAU=-xIqe+QQIQXQ=,A4tgQv5cqkc=,4,28
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-AlGb30xUGAU=,A4tgQv5cqkc=,4,90
2023-01-01,zwVGiYamVc0=,AlGb30xUGAU=,xIqe+QQIQXQ=,zwVGiYamVc0=-xIqe+QQIQXQ=,A4tgQv5cqkc=,4,90
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-t+kFcRdzL6o=,A4tgQv5cqkc=,4,68
2023-01-01,xIqe+QQIQXQ=,t+kFcRdzL6o=,/M8gHzjxpNU=,xIqe+QQIQXQ=-/M8gHzjxpNU=,A4tgQv5cqkc=,4,68
